nit_enmascarado,num_oblig_orig_enmascarado,num_oblig_enmascarado,fecha_var_rpta_alt
257335,444821,635511,202401
59584,350400,730364,202401
397604,973821,106521,202401
368086,382995,696856,202401
255009,434238,645924,202401
417751,109691,978105,202401
15170,695103,385239,202401
64083,1033680,46662,202401
522913,59984,1044995,202401
46441,633313,447029,202401
552,559118,521224,202401
302051,315690,767452,202401
118179,314102,769034,202401
523516,404708,675216,202401
113208,181011,907122,202401
276581,207846,874865,202401
580908,867522,212820,202401
383095,52705,1052247,202401
76615,1047728,32614,202401
138091,115168,972652,202401
357721,73523,1031527,202401
442359,1056644,23698,202401
500313,1050223,30119,202401
402096,43169,1061649,202401
507348,350702,730065,202401
204337,300670,782445,202401
436763,346219,734486,202401
465398,824439,255903,202401
242084,623070,457272,202401
267078,663701,416641,202401
200340,725868,354474,202401
600026,796685,283657,202401
439822,145524,942570,202401
608644,280869,802173,202401
458223,711065,369277,202401
492870,106066,981715,202401
385325,66845,1038184,202401
283801,483018,597324,202401
39603,35099,1069954,202401
35925,278860,804180,202401
536107,889478,190864,202401
356231,190000,898235,202401
314131,751663,328679,202401
32776,599515,480827,202401
296565,487009,593333,202401
420032,784025,296317,202401
348284,542773,537569,202401
514260,342341,738326,202401
373936,834274,246068,202401
158015,815577,264765,202401
107393,729831,350511,202401
395121,718382,361960,202401
559180,418892,661101,202401
311073,1041116,39226,202401
106125,404910,675013,202401
64548,241610,841409,202401
40213,836170,244172,202401
332192,909736,170606,202401
622359,728230,352112,202401
77961,237821,845157,202401
590929,109550,978245,202401
349843,282225,800828,202401
513716,50850,1054052,202401
46597,462853,617489,202401
302245,848604,231738,202401
507759,368273,711587,202401
494605,98713,989059,202401
541991,910909,169433,202401
82315,796739,283603,202401
305431,830902,249440,202401
191287,180650,907480,202401
325540,359775,720088,202401
104164,870960,209382,202401
419790,703117,377225,202401
385203,322645,760493,202401
265204,512277,568065,202401
615809,246955,836042,202401
492907,833827,246515,202401
