id,var_rpta_alt,prob_uno
631433#491971#588371,0,0.24101
537575#779781#300561,0,0.46362
596224#1045550#34792,0,0.31561
168263#501911#578431,1,0.56765
7120#110109#977691,0,0.31262
345981#75663#1029402,0,0.43734
547680#779968#300374,0,0.28082
573090#244318#838676,0,0.40171
209353#984940#95402,0,0.30694
571434#543603#536739,1,0.66151
184995#510389#569953,0,0.45461
235817#789348#290994,0,0.14223
339797#814813#265529,0,0.36668
512384#62762#1042225,1,0.65641
411225#468825#611517,0,0.43890
43062#859817#220525,1,0.54429
280731#553008#527334,0,0.31941
533810#703317#377025,0,0.36092
407219#1076991#3351,0,0.29634
258582#207474#875218,0,0.35765
121838#707430#372912,0,0.23198
560825#394863#685049,0,0.33303
419847#272538#810480,0,0.34546
10383#729830#350512,1,0.76381
612330#658612#421730,0,0.20745
121#171218#916918,1,0.54800
244049#237314#845646,1,0.66325
77331#208725#873998,1,0.61868
383407#868428#211914,0,0.46999
567656#654268#426074,1,0.59008
75812#350689#730078,0,0.38216
215677#96272#991498,0,0.40875
54620#427831#652153,0,0.46321
308901#28280#884841,0,0.27224
584221#233796#849037,0,0.37308
391435#609538#470804,1,0.61938
623305#407728#672191,0,0.38327
537954#851089#229253,1,0.69156
347978#97823#989942,0,0.30697
161336#519547#560795,1,0.50832
542192#81140#1020407,0,0.48530
324186#385566#694286,1,0.74769
502465#685541#394801,0,0.36613
467594#1026551#53791,1,0.52094
59278#1027223#53119,1,0.69597
72397#942687#137655,1,0.66798
414525#306258#776853,0,0.23008
284648#839304#241038,0,0.20564
446975#787905#292437,1,0.59956
249202#125628#962203,0,0.39013
256976#1047746#32596,1,0.66195
267427#437210#643077,1,0.69147
226619#843649#236693,0,0.28231
624397#314501#768639,1,0.59548
552213#797503#282839,0,0.18064
486525#876013#204329,0,0.32880
322917#290324#792732,0,0.29130
124282#128506#959345,0,0.46723
266406#33929#1071097,0,0.28409
516745#630840#449502,0,0.15854
377595#745947#334395,0,0.42056
298696#531043#549299,1,0.50377
375455#886020#194322,0,0.39990
526406#487711#592631,0,0.40424
12317#604476#475866,0,0.41298
134923#1079121#1221,0,0.26958
212060#89015#1016288,0,0.27578
540949#672141#408201,0,0.42775
584961#118930#968899,1,0.69206
416987#55805#1049153,0,0.41390
72353#302294#780821,0,0.44055
224288#519710#560632,0,0.33990
69636#1025811#54531,1,0.55123
613796#34034#1070998,1,0.58317
10695#270572#812434,1,0.56401
17851#15772#1013014,0,0.36187
388269#857296#223046,0,0.42554
224182#722915#357427,0,0.25151
464145#265645#817355,0,0.35919
86385#589858#490484,1,0.72264
409776#1042849#37493,0,0.23697
64112#294059#789027,0,0.46832
246869#436340#643914,0,0.44444
212984#569456#510886,0,0.23788
501377#878863#201479,0,0.36666
623505#950919#129423,0,0.36141
167652#98933#988845,0,0.34432
340006#5488#1004331,1,0.54919
539209#255621#827362,1,0.67632
59767#714741#365601,0,0.40288
487925#568474#511868,0,0.43648
249852#1011558#68784,1,0.64572
354158#951259#129083,0,0.31178
207963#670882#409460,0,0.35100
525744#663426#416916,1,0.65543
471979#559568#520774,1,0.68786
610693#1035345#44997,0,0.29849
297098#218644#864134,1,0.58398
35742#892060#188282,0,0.46196
182176#1079599#743,0,0.33303
490109#345163#735517,1,0.73419
227521#881236#199106,0,0.30665
169417#98928#988850,1,0.73745
582648#828198#252144,0,0.43967
463787#832203#248139,0,0.25594
370485#507704#572638,1,0.56212
143026#876630#203712,0,0.33894
558003#884185#196157,0,0.46163
564542#729473#350869,1,0.70700
426395#530556#549786,0,0.42086
449590#495639#584703,0,0.49369
329297#180320#907804,0,0.44402
504074#464871#615471,0,0.32678
160072#867730#212612,0,0.19225
157612#559672#520670,0,0.41506
466917#629254#451088,0,0.38709
282394#129314#958537,0,0.31228
495319#1003958#76384,0,0.38820
453069#455796#624540,0,0.23674
505487#889499#190843,0,0.38440
510294#893251#187091,0,0.45725
300247#183182#904954,1,0.60543
32726#449898#630481,0,0.36005
131034#478353#601989,0,0.31774
291034#407886#672034,0,0.31110
523757#104337#983435,1,0.57701
436611#1003798#76544,0,0.32032
169500#847547#232795,0,0.30860
219625#5763#996879,0,0.13296
277503#5495#1076704,0,0.17362
32301#994087#86255,1,0.51234
165105#521675#558667,0,0.17744
415028#414016#665907,1,0.56058
414812#668434#411908,0,0.41081
633924#189651#898580,0,0.34526
169571#845372#234970,1,0.57184
433954#986845#93497,1,0.65233
